"state.abb","fips","county_name","pslave1860","longitude","latitude","coarea00","coarea","rugged","land.ineq1860","sfarmprop1860","totpop1860","fvalpc1860","fvalpac1860","acimp1860","fbprop1860","rail1860","water1860","sprop1850","sprop","cottonsuit","nmatch.diff.20","blkprop1870","blkprop20","blkprop40","blkprop70","blkprop00","blkprop2010","totpop00","highsch90","unemp","medinc00","wbincratio00","slavesperhouse","s.mortrate","w.mortrate","livstock","livstock1870","farmval","farmval1870","totpop1880","totpop1890","totpop10","totpop20","totpop30","totpop40","totpop50","lynchings","lynchrate","tractors40","tractors30","blklwage1940","whtlwage1940","btenantprop25","wtenantprop25","coacres25","bfarmerownerprop25","wfarmerownerprop25","sprop.1","land.ineq","sfarmprop","totpop","fvalpc","acimp","fbprop","rail","water","pdem1840","pdem1844","pdem1848","pdem1852","pdem1856","pdem1860","pdem1864","pdem1868","pdem1872","pdem1876","pdem1880","pdem1884","pdem1888","pdem1892","pdem1896","pdem1900","pdem1904","pdem1908","pdem1912","pdem1916","pdem1920","pdem1924","pdem1928","pdem1932","pdem1936","pdem1940","pdem1944","pdem1948","pdem1952","pdem1956","pdem1960","pdem1964","breckinridge1860","wallace68.alt","thurmond48","wht.obama.vote","stot1860","whtot1860","wbincratio2014","w.med.income2014","b.med.income2014","outflow","inflow","therm.diff","btherm","wtherm","sample.size","sample.size.td","sample.size.bt","sample.size.wt"
"AL",1073,"Jefferson",0.229223849032211,-86.8964999894535,33.5542899539945,0.282587912413497,1113,50.0627326965332,0.55720937157915,0.581028189970523,12497.6174835603,104.286452100779,16.4108353160558,79419.003479855,0.00164421292677549,0,0,0.252197129825342,0.225523582496169,0.388732142857143,1,0.202997164844066,0.42022034871345,0.389515795881982,0.320099040141645,0.393639726484676,0.419953346110505,662047,73.8000030517578,3.1,35464,1.77714083788135,5.02222222222222,2680.25670064175,1178.67371667768,552095,430702,1219865,1140247,23272,88501,226476,310054,431493,459930,558928,18,5.80544034264999e-05,0.018604521038496,0.0128348214285714,6.43294009273918,7.09007683577609,57.196261682243,29.7903319743739,716800,0.293457943925234,0.634828188701223,0.225523582496169,0.559657054424575,0.588732394366197,11746,103.853652307168,75121,0.00161757193938362,0,0,64.9000015258789,68.9000015258789,57.2000007629395,74.8000030517578,78.0999984741211,6.80000019073486,NA,NA,53.2999992370605,75.3000030517578,64.0999984741211,51.2000007629395,63.9000015258789,97.5999984741211,53.5,59.2999992370605,80.0999984741211,72.9000015258789,72.6999969482422,81.4000015258789,75.8000030517578,63.5999984741211,47.9000015258789,85.1999969482422,89.5,84.3000030517578,80.4000015258789,44.2999992370605,53.8499984741211,43.9199981689453,42.189998626709,0,72,39.7079834392535,44.2000007629395,0.270566780202032,2864.75198331395,9612.31675602599,1.84553449770841,59596,32292,116641,113726,17.448274034542,63.243939293254,77.1953196536873,112.937500089407,58.718100041151,102.937500089407,58.718100041151
"DC",11001,"District of Columbia",NA,-77.0162997816044,38.9047269747834,0.0183800961150007,61,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.0713332172499855,NA,0.46005,NA,0.329567198177677,0.251310073108136,0.282413726019506,NA,0.600133902272318,0.507085486178856,572059,73.0999984741211,6.5,34980,2.14715532515257,NA,NA,NA,NA,114916,NA,3800230,NA,230392,331069,437571,486869,663091,NA,0,0,NA,NA,6.65929391968364,7.35244110024358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73866614416224,111817,40829,116698,109630,NA,69,NA,5,0,5,0
"AL",1113,"Russell",0.582244688462519,-85.1845321367948,32.2883148088312,0.160860490199762,641,23.6545600891113,0.551337755578901,0.41095983267219,19462.0146867124,184.184095261509,21.7103654604401,165109.775492728,0.000712819801054172,1,1,0.568395743810108,0.588071600481348,0.538093181818182,0,0.725180255130338,0.762714951909064,0.589825296995108,0.454861876018857,0.408372859554627,0.418059569002965,49756,57,4.4,28141,1.5343606431853,5.41973231643487,1764.931576928,1152.1580102414,964095,498304,4959649,1721442,24837,24093,25937,27448,27377,35775,40364,1,3.643252696007e-05,0.00880281690140845,0.00763358778625954,5.56068163101553,6.50428817353665,87.9144851657941,37.7232142857143,419200,0.107329842931937,0.5625,0.588071600481348,0.540100142251961,0.416918429003021,26592,186.509062876053,230121,0.000676895306859206,1,0,37,45.9000015258789,37.2999992370605,53.2999992370605,53.7999992370605,2.79999995231628,NA,NA,39.7999992370605,66.6999969482422,54.5,59.7000007629395,64.4000015258789,99.6999969482422,66.0999984741211,90.0999984741211,94.0999984741211,91,96.1999969482422,99.0999984741211,89.6999969482422,91.3000030517578,70.6999969482422,97.4000015258789,96.6999969482422,97.9000015258789,94.6999969482422,48.4000015258789,80.370002746582,68.5400009155273,65.6100006103516,0,52.2999992370605,53.8173517522907,48.4000015258789,0.215009396422191,11331.6546781178,8116.48709915747,1.40633271904842,41972,29845,11700,9897,4.65154538027721,64.8213562289296,70.3238661382025,23.717600017786,9.23220002651215,21.2322000265121,9.23220002651215
"AL",1115,"St. Clair",0.160537546535912,-86.3146912846112,33.7156874343903,0.1646720088175,634,57.0350379943848,0.512409063528103,0.604283054003724,9364.36653723745,124.45854898756,22.670559047304,51409.2073768615,0.000817216017433942,0,1,0.193439742275589,0.160537546535912,0.385344,1,0.220619658119658,0.190266432878587,0.208369915130231,0.143046215481471,0.0812918970683637,0.0855334776835381,64742,61,3.1,33812,1.80305721765146,5.15033333333333,1018.09954751131,1418.36292767432,306026,252095,1370662,401174,14462,17353,20715,23383,24510,27336,26687,6,0.000256596672796476,0.0187695007800312,0.0142264660493827,6.10924758276437,6.54965074223381,57.8125,43.0331753554502,414720,0.346875,0.51042654028436,0.160537546535912,0.514976108024265,0.604283054003724,11013,124.45854898756,60460,0.000817216017433942,1,0,94.1999969482422,93.3000030517578,75.1999969482422,91.1999969482422,90.8000030517578,17.3999996185303,NA,NA,61.5,72.3000030517578,65.5,57.2999992370605,69.1999969482422,96.9000015258789,25.6000003814697,32.5,46.7999992370605,45.7000007629395,43.5,52.0999984741211,41.5999984741211,45.2999992370605,33.7000007629395,59.5,61.7999992370605,61.2000007629395,61.7000007629395,39,59.2999992370605,48.6399993896484,48.9700012207031,0,69.9000015258789,56.289,39,0.11191356531283,1503.33242875109,7853.381398159,1.40284674828053,52827,37657,8840,10239,6.45182545563344,60.9649625358118,68.2578464518589,12.7108000516891,10.9290000796318,11.7673000693321,10.9290000796318
"AL",1117,"Shelby",0.287050245680774,-86.6606299335795,33.2642747801196,0.202872834490005,795,41.2663803100586,0.494033802502973,0.400262467191601,9553.04582163368,111.050087177049,19.4199905757131,54627.5533534757,0.00206054842288794,1,0,0.249161073825503,0.287050245680773,0.400742857142857,0,0.276477328531675,0.259954976565671,0.236447759132657,0.169413991639719,0.0740161766450559,0.10627162518902,143293,78.1999969482422,1.5,52450,1.52527349676595,5.51338199513382,1352.84373274434,992.196209587514,442289,311018,1401230,516136,17236,20886,26949,27097,27576,28962,30362,4,0.000147617817470569,0.0241885143570537,0.0167887667887668,5.83627165770228,6.39692965521615,63.2,44.199611147116,524160,0.304,0.510045366169799,0.287050245680773,0.499094747274099,0.400262467191601,12618,111.050087177049,72154,0.00206054842288794,1,0,41.5,48,39.7999992370605,49.5999984741211,62.7000007629395,11.6000003814697,NA,NA,54.4000015258789,65.6999969482422,63.2000007629395,54.7999992370605,60.5999984741211,91.5999984741211,32.2000007629395,32.9000015258789,45.4000015258789,40.5999984741211,44.4000015258789,47.5999984741211,43.5999984741211,49.2000007629395,39.9000015258789,72.5,74.5,74.5999984741211,67.1999969482422,40,53.3400001525879,44.8300018310547,54.9500007629395,0,53,50.579104087775,40,0.143457423544272,2742.20415009963,6791.1571580325,1.27430537179148,72234,56685,24646,28771,16.918627937455,58.8237731009844,76.2197945470786,36.8875000476837,28.3820000886917,33.4557000398636,29.3820000886917
"AL",1127,"Walker",0.0650375939849624,-87.2973123136369,33.8033481221302,0.203059996442996,794,31.4191513061523,0.4839503595755,0.729891956782713,7118.06476116808,76.9197994987469,19.5067848857533,28068.1884510872,0,0,0,0.0519125683060109,0.0650375939849624,0.399646875,1,0.0470732080085588,0.161880101990394,0.107506113611938,0.0885218504426981,0.0617142533904657,0.0586067469376184,70713,56,5.6,28254,1.81939437635184,3.13636363636364,1348.74759152216,871.196890497252,292831,216724,613820,296480,9479,16078,37013,50593,59445,64201,63769,0,0,0.0100432632880099,0.00907512626262626,6.18414889093748,6.13988455222626,33.3333333333333,28.6053613844588,506880,0.5,0.614183915846624,0.0650375939849624,0.485078907274838,0.729891956782713,7980,76.9197994987469,31467,0,0,0,60.0999984741211,72.1999969482422,62.4000015258789,80.0999984741211,75.5,35.5999984741211,NA,NA,48.2999992370605,61.2999992370605,66.4000015258789,50.5,51.7999992370605,99.8000030517578,44.5,41.7999992370605,60.7000007629395,53.2999992370605,57.7000007629395,53.7999992370605,50,54.5999984741211,53.7999992370605,74.3000030517578,76.0999984741211,74.5,66.9000015258789,40,65.7699966430664,59.2999992370605,59.8400001525879,0,52.2999992370605,50.1358716384224,39.9000015258789,0.222269465500443,462.941805895518,6655.12295527256,1.4435325395908,37464,25953,7951,8295,30.1296686531998,72.2962682528909,85.0972514898998,6.06679999828339,2.06679999828339,6.06679999828339,2.06679999828339
"FL",12019,"Clay",0.282143784929662,-81.8578871419514,29.9830755025525,0.155848379219499,601,18.0772094726562,0.58666009001788,0.870751677256223,2116.3053906673,67.3839031753371,26.8960749654595,5302.07168582425,0.00440035162871063,0,1,NA,0.27115987460815,0.570166666666667,1,0.190181124880839,0.368617683686177,0.268243661100804,0.0898967528619109,0.0670316871901942,0.098661357503995,140814,81.1999969482422,2.7,42729,1.29464054989922,NA,NA,NA,85049,41082,126880,70418,2838,5154,6116,5621,6859,6468,14323,1,0.000177904287493329,0.00888377926421405,0.0129573170731707,5.79453683792467,6.32793678372919,20,10.5421686746988,393600,0.7,0.840361445783133,0.27115987460815,0.585584295980047,0.880952380952381,1914,66.2904911180773,4747,0.00365726227795193,0,0,NA,NA,NA,NA,NA,0,NA,NA,66.5,71.1999969482422,62.9000015258789,61.2999992370605,53.5,85.4000015258789,54.5,71.0999984741211,75.8000030517578,63.5999984741211,71.5,68.6999969482422,49.7000007629395,57.2000007629395,27.1000003814697,69.8000030517578,69,74.9000015258789,70.5999984741211,56.2999992370605,50.9199981689453,46.3300018310547,52.0299987792969,45,33.2999992370605,41.5017664570324,16.7000007629395,0.22453776512835,597.10241298992,1509.89048980471,1.19018634519166,60421,50766,25040,30071,NA,44,NA,5,0,5,0
"FL",12025,"Dade",NA,NA,NA,NA,1946,3.44685888290405,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0691823899371069,0.0240963855421687,NA,NA,0.152941176470588,0.296587373985451,0.184948774739578,0.149679915948357,0.202903039990911,NA,2253362,65,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,257,861,11933,42753,142955,267739,495084,0,0,0.0368184031158715,0.0269316493313522,6.25382881157547,7.09007683577609,73.1707317073171,20.3000882612533,1292160,0.24390243902439,0.753751103265666,0.0240963855421687,NA,NA,83,NA,NA,0.0120481927710843,0,1,NA,NA,NA,NA,NA,0,NA,NA,44.4000015258789,35.7000007629395,58.2000007629395,59.7000007629395,67.5999984741211,95.5999984741211,46.5999984741211,59,68.0999984741211,60.5999984741211,65.6999969482422,57.7000007629395,53.0999984741211,32.7999992370605,38.7999992370605,65.8000030517578,73.0999984741211,67.3000030517578,66.4000015258789,53.5,43.2200012207031,44.6199989318848,57.6500015258789,64,100,9.78115468434522,6.40000009536743,NA,NA,NA,NA,NA,NA,NA,NA,14.1724644329176,60.3424528316044,74.0756347215672,70.5419998466969,38.9807998239994,61.9807998239994,38.9807998239994
"FL",12031,"Duval",0.391604256996453,-81.6705824943724,30.3316419264189,0.206412304224719,774,11.4801416397095,0.551667163705279,0.854545454545454,4755.67421214024,43.4207725660229,49.7105144404332,4153.95114469955,0.0319274733937722,0,1,0.463978849966953,0.391604256996453,0.449013333333333,0,0.56874423286637,0.422661617051259,0.325773401921549,0.223384039405141,0.278323077140352,0.295069903490026,778879,76.9000015258789,3.2,35883,1.49603930612654,3.58392018779343,NA,NA,47669,155517,220317,647881,19431,26800,75163,113540,155503,210143,304029,6,5.2844812400916e-05,0.0148809523809524,0.0115888746803069,6.03068526026126,7.1066061377273,20.7692307692308,14.5065398335315,500480,0.769230769230769,0.845422116527943,0.391604256996453,0.557571795747968,0.854545454545454,5074,43.4207725660229,4432,0.0319274733937722,1,1,NA,NA,41.4000015258789,53.4000015258789,44,8.60000038146973,NA,NA,35.5,37.7999992370605,36.5999984741211,35.7999992370605,33.9000015258789,95.1999969482422,50.0999984741211,66.5999984741211,66.8000030517578,66.8000030517578,75.3000030517578,68.5999984741211,64.1999969482422,51.9000015258789,35,75.6999969482422,82.9000015258789,81.6999969482422,75.0999984741211,47.9000015258789,51.7200012207031,49.75,54.2599983215332,49.4500007629395,58.4000015258789,28.9791178690382,24.2000007629395,0.331459678080943,1862.34226636237,2741.49528390031,1.64258383296677,54519,33191,165819,170210,11.4401415961064,60.9663842386637,68.8876832897974,56.6556997895241,28.1079998016357,55.1079998016357,28.1079998016357
"FL",12089,"Nassau",0.442371020856202,-81.8018888256169,30.6103836365739,0.163046715303175,652,10.0752019882202,0.612415424356541,0.8,3644,39.9163007683864,30.0962135319677,4833,0.0148188803512623,0,1,0.497689463955638,0.442371020856202,0.478222,0,0.463856840122439,0.44347442680776,0.335673378902642,0.212207892950645,0.077432669129251,0.0636713315328587,57663,71.1999969482422,3.5,40128,1.72063870524909,7.44444444444444,NA,NA,138811,88834,145455,132213,6635,8294,10525,11340,9375,10826,12811,0,0,0.00697115384615385,0.00694444444444444,5.99146454710798,6.94263968083564,5.17241379310345,3.31632653061224,403200,0.948275862068966,0.959183673469388,0.442371020856202,0.612415424356541,0.8,3644,39.9163007683864,4833,0.0148188803512623,1,1,NA,NA,27,37.7000007629395,65.5,0.300000011920929,NA,NA,44.2000007629395,45.4000015258789,41.7000007629395,45.7999992370605,51.2999992370605,98.8000030517578,53.0999984741211,70.8000030517578,68.0999984741211,75,82.9000015258789,70.4000015258789,72.0999984741211,80.5999984741211,38.5,80.3000030517578,81.9000015258789,81.8000030517578,78.1999969482422,55.0999984741211,59.1800003051758,61.4799995422363,66.3199996948242,47.0099983215332,77.8000030517578,50.3932838556372,24.7000007629395,0.237999908162643,1612,1978,1.54671848486507,56514,36538,9181,10126,11.9915313474634,63.9051671252126,75.8966984726761,5.00669997930527,5.00669997930527,5.00669997930527,5.00669997930527
